Name,Phone number,address
Sagar Ratna,"""+(91)-11-24333688""","Shop Number-24, Ground Floor, Defence Colony, Delhi - 110024, Near Defence Colony Market"
Haandi Pure Veg,"""+(91)-0120-4243666""","LGF 06,Jaipuria Sunrise  Plaza, Mall Road, Ahinsa Khand 2-indirapuram, Ghaziabad - 201014, Behind SRS Cinemas Jaipuria Mall"
Naivedyam Restaurant,"""+(91)-124-4049810""","Second Floor,Vipul Square Building, Sushant Lok Phase 1, Gurgaon - 122002, Near Galeriya Market, B Block"
Amritsari Food And Caterers,"""+(91)-9999174277""","Shop Number- 70 G, Kala Patthar Road, Nyay Khand 2-indirapuram, Ghaziabad - 201014, Opposite Nathu Sweets"
Kwality Dhaba,"""+(91)-011-25133056""","WZ-38, Ashok Nagar, Delhi - 110018, Near Uggarsain Market"
Apsara Restaurant & Caterer..,"""+(91)-011-27883940""","B-1/113, Rohini Sector 17, Delhi - 110085, Opposite Petrol Pump"
Wah Ji Wah Restaurant,"""+(91)-7042533824""","Shop Number 25/1, Double Storey, Ashok Nagar, Jail Road, Ashok Nagar, Delhi - 110018, Near Tilak Nagar Metro Station"
Sagar Ratna Restaurant,"""+(91)-11-27212525""","B-2/1, Ground Floor, Ashok Vihar 2, Delhi - 110052, Near Satyawati College"
Kake Di Hatti,"""+(91)-011-43552754""","654-655, Church Mission Road, Fatehpuri, Delhi - 110006"
Sagar Ratna,"""+(91)-11-41582937""","Shop Number  C1, Vikaspuri, Delhi - 110018, Near New Krishna Park & Opposite Piccadilly & Hilton Hotel Janakpuri West Metro Station Gate Number"
Apni Rasoi,"""+(91)-0124-2566088""","U-16, Ewf Building, Shop Number- 1 & 2, Main Road, Dlf City Phase 3, Gurgaon - 122010, Near Block-U, Sector-24"
Wah Ji Wah Restaurant,"""+(91)-011-47656978""","B 35, Laxmi Nagar, Delhi - 110092, Opposite V3S Mall, Gurunanak Pura"
New Madras Cafe,"""+(91)-0120-4122701""","Shop No A-1, Mahagun Mannsion, Kala Pathar Road, Vaibhav Khand-indirapuram, Ghaziabad - 201014, Opposite Gaur Green City"
Sagar Ratna,"""+(91)-11-23412470""","K-15, Ground Floor, Connaught Place, Delhi - 110001, Near Outer Circle, Near Pvr Plaza & Metro Station Gate Number 2"
Naivedyam Restaurant,"""+(91)-11-49875177""","Shop Number-1, Hauz Khas, Delhi - 110016, Hauz Khas Village,Near Deer Park"
Sagar Ratna,"""+(91)-11-42141530""","G-86, Vikas Marg, Preet Vihar, Delhi - 110092, Near Preet Vihar Metro Station"
Punjabi Rasoi,"""+(91)-11-27055757""","Shop Number- D-12/187-188, Main Road, Rohini Sector 7, Delhi - 110085, Near Metro Pillar Number-408"
Rana Dhaba,"""+(91)-8377831483""","G-39 A, Noida Sector 22, Noida - 201301, G-Block, Near Axis Bank ATM"
Carnatic Cafe Home Style So..,"""+(91)-011-41008630""","Ground Floor, India Mall, New Friends Colony, Delhi - 110025, Near Community Centre"
Wah Ji Wah Restaurant,"""+(91)-9899817721""","B-12/5, Rohini Sector 14, Prashant Vihar, Delhi - 110085, Near CRPF School"
Sardarji Malai Chaap Wale,"""+(91)-7838479999""","Shop Number 186, Main Road, Kalkaji, Delhi - 110019, Near Govind Puri Metro Station"
Jetha Lal Ka Dhaba.,"""+(91)-9871079734""","Shop No  U-9/50., U Block, Dlf City Phase 3, Gurgaon - 122010, Near Airtel Store, U-block"
Shri Ram Traditional Indian..,"""+(91)-124-4278885""","Shop Number- 23, Sohna Road, Gurgaon - 122001, Opposite Omax Mall, Sector 48"
Naivedyam Restaurant,"""+(91)-011-26236364""","F-12, Main Road, Kalkaji, Delhi - 110019, Near Desh Bandhu College"
Chindambarams New Madras Ho..,"""+(91)-011-24611726""","Shop Number-7, Lodhi Colony, Delhi - 110003, Khanna Market, Near Maternity Hospital"
Naivedyam Restaurant,"""+(91)-11-25862929""","Door No-25/35, Main Road, East Patel Nagar, Delhi - 110008, Near Radha Krishan Mandir, Lila Ram Market"
Mithaas Sweets & Restaurant..,"""+(91)-120-4574447""","G - 20 & 21, Aashirwad Complex, Noida Sector 53, Noida - 201301, Opposite Shivalik Hospital"
Sagar Ratna,"""+(91)-0120-4201464""","Shop Number-49-50, Ansal Fortune Arcade, Noida Sector 18, Noida - 201301, Near HDFC Bank, Opposite Max Hospital"
Kuddu Di Rasoi,"""+(91)-9891077627""","Shop No G1,G2, Dwarka Sector 11, Delhi - 110075, Near Manish Market,Pocket-2"
Naivedyam Restaurant,"""+(91)-0120-4223608""","H-1a/17, First Floor, Noida Sector 63, Noida - 201307, Near Fortis Hospital & Ginger Hotel"
Wah Ji Wah Restaurant,"""+(91)-11-47075701""","A 2 Block, Dda Market, Shop No 11 Csc, Paschim Vihar, Delhi - 110063, Near By Mother Dairy"
Chaska Restaurant,"""+(91)-011-27346081""","G-6, Gu Block, Maya Complex, Pitampura, Delhi - 110034, Near Adarsh Maharaja Agarsen School"
Angan Restaurant,"""+(91)-11-45002525""","10181/82, Arya Samaj Road, Karol Bagh, Delhi - 110005, Near Bikanerwala"
Shri Radha Ki Rasoi,"""+(91)-011-43090393""","B-222, Dwarka Sector 7, Delhi - 110075, Near Palam Extenstion-1, Near ICICI Bank"
Naivedyam Restaurant,"""+(91)-124-4109810""","Shop No 41, Golf Course Extension Road, Sohna Road, Gurgaon - 122001, Vatika City Market, Sector-49"
The Dhaba,"""+(91)-120-4988748""","Shop Number H-11, Galleria Market, Crossing Republik, Ghaziabad - 201016, Near Golf Course"
Kadimi Foods Pvt Ltd,"""+(91)-11-45502737""","Building Number - C - 5A, Shop Number - 1 & 2, Janakpuri, Delhi - 110058, Near Kadimi Market, Near Central Jail, Gate Number 4"
Sona Sweets & Shri Udipi Re..,"""+(91)-011-26215237""","Shop No 27, Saraswati House 27, Nehru Place, Delhi - 110019, Nr Bank Of Baroda"
Sagar Ratna,"""+(91)-11-42143593""","A-6/7, Chaudhary Balbir Singh Marg, Paschim Vihar, Delhi - 110063, Near Jwala Heri Market"
Jaiveer Naan & Chaap,"""+(91)-011-49055909""","BG-8,Shop Number-8, Paschim Vihar, Delhi - 110063, Near Jalebi Chowk,DDA Market"
Kali Ghata Mishthan Bhandar..,"""+(91)-9205150220""","Shop Number - F 146, Arya Samaj Road, Uttam Nagar, Delhi - 110059"
Apni Rasoi,"""+(91)-9953304900""","F-18, Hudson Lane, Vijay Nagar, Delhi - 110009, Opposite Ndpl Office"
Chitrakut Restaurant,"""+(91)-011-27487687""","Shop No-30, AD Market, Shalimar Bagh, Delhi - 110088, Near MTNL Office"
Southy,"""+(91)-8454848884""","Super Mart 2 , Kasera 505-506 , Sector 43 , Gurgaon, DLF Phase 4, Gurgaon - 122002"
Chaap Kitchen Restaurant,"""+(91)-011-40041618""","Shop No. E-124, Lajpat Nagar 4, Delhi - 110024, Near Amar Colony, Near Tagore International School"
Zaika E Dilli,"""+(91)-9711343600""","C- 9/17, Main Road, Yamuna Vihar, Delhi - 110053, Opposite Pratibha School"
Wah Ji Wah Restaurant,"""+(91)-9289868607""","9 Community Centre, Shop No 1, Ashok Vihar 2, Delhi - 110052, Near Satya Wati College, Invitation Market"
Udupi Krishna Restaurant Pv..,"""+(91)-0120-4376813""","Shop Number-69, Main Road, Navyug Market, Ghaziabad - 201011, Near SBI Bank & Ambedkar Park"
Sagar Ratna (The Ashok Hote..,"""+(91)-011-26888242""","C/O The Ashok Hotel, 50 B, Chanakya Puri, Delhi - 110021, ITDC, Diplomatic Enclave"
Prasadam,"""+(91)-11-22421010""","G-57, Vikas Marg, Laxmi Nagar, Delhi - 110092, Near Metro Pillar Number-41 and Walia Nursing Home"
SWAD - Desh Videsh Ka,"""+(91)-11-40074156""","Shop Number 43  Ground Floor  Chiranjivi Tower, Nehru Place, Delhi - 110019, Near Satyam Cinemas and Eros Hotel"
Haldirams,"""+(91)-9650871115""","3rd Floor, Shop Number- 309,310 Ambience Mall, Delhi Jaipur Highway, Gurgaon Sector 15 Part 2, Gurgaon - 122001, National Highway -8, Next to Toll Plaza"
Bhimsains Bengali Sweet Hou..,"""+(91)-011-23311855""","Shop Number 27 to 29, Bengali Market, Delhi - 110001"
Jai Vaishno Rasoi,"""+(91)-11-27867053""","Shop Number- 6, Prashant Vihar, Delhi - 110085, Near Dda Market, B Block Market, Opposite Crpf School"
Southy Restaurant,"""+(91)-011-45547666""","Shop Number 65, Mall Road, Kingsway Camp, Delhi - 110009, Near GTB Nagar Metro Station Gate Number- 1, Kingsway Camp"
Ganeshwaram Restaurant,"""+(91)-9871791975""","SD 155 - 156, Noida Ho, Noida - 201301, Near SD Block , Sadarpur , Noida Sector 45"
Wah Ji Wah Restaurant,"""+(91)-011-41091104""","K-3/4, Main Road, Saket, Delhi - 110017, Near Gyan Bharti School"
Govardhan Vegeterian,"""+(91)-11-26513961""","84, Shri Aurobindo Marg, Adchini-Sarvodaya Enclave, Delhi - 110017, Near IIT"
The Masala Trail,"""+(91)-011-43593000""","52, Janpath Road, Janpath, Delhi - 110001, Near Sarvana Bhawan"
Neelgiri Restaurant,"""+(91)-11-22756548""","P 19/20, First Floor, Mayur Vihar Phase 1, Delhi - 110091, Above Aggarwal Sweets, Pandav Nagar"
Dasaprakash Restaurant,"""+(91)-9693969371""","H No HA-106, Main Road, Noida Sector 104, Noida - 201304, Opposite Internationl Pathway School, Hajipur Village"
Sagar Ratna,"""+(91)-11-45380683""","Building Number-2  Odeon Plaza  3rd Floor, Dwarka Sector 6, Delhi - 110075, Near Dwarka Sector 11 Sport Complex"
Green Lounge Restaurant,"""+(91)-011-47354589""","G 39 -  43, & Lg 1 & 2 , Aggarwal City Mall, Road Number 44, Rani Bagh, Delhi - 110034, Opposite M2k Cinema Hall"
Gulab Rewri Gulab Wala,"""+(91)-9310160006""","Plot No 5, Main Road, Madhuban Chowk, Delhi - 110085, Near Metro Pillar Number 352"
New Punjabi Rasoi,"""+(91)-9540312059""","Shop No 2, Pckt -25, Rohini Sector 24, Delhi - 110085, Near Bala Ji Bagosha Mandeer"
Apni Rasoi,"""+(91)-9990477605""","Shop Number 1, Ashok Vihar 3, Delhi - 110052, Opposite Croma Electronics Near Dominos Pizza  DDA Market  Pocket B"
Veg Always Family Restauran..,"""+(91)-0120-4275666""","Shop Number G-127 & 128, Neelkanth Plaza, Commercial Belt, Greater Noida, Noida - 201310, Near Axis Bank & Garhwal Paneer"
Bikanervala,"""+(91)-0124-2334444""","Sco No-26 & 29, Old Delhi Road, Gurgaon Sector 12a, Gurgaon - 122001, Huda Market, Opposite Telephone Exchange"
Priyanshi South Indian Fast..,"""+(91)-011-49841682""","H-43, Vikas Marg, Laxmi Nagar, Delhi - 110092, Near Sbi Atm"
Himalaya Sagar,"""+(91)-011-28566056""","A-1, Milap Nagar-uttam Nagar, Delhi - 110059, Near Station Uttam Nagar East"
Burma Burma,"""+(91)-124-4372999""","Shop Number-6,Ground Floor,Building 8, Tower C, Dlf Cyber City, Gurgaon - 122002, Near CyberHub,Phase 3"
Apni Rasoi Restaurant,"""+(91)-011-27605777""","Shop Number 7, Ground Floor, Mall Road, Kingsway Camp, Delhi - 110009, Oppsite Hakikat Nagar Mother Dairy, Near Gtb Nagar Metro Station Gate No 2"
Nathu Sweet Restaurant,"""+(91)-120-4259659""","G 63, Mansarover Shopping Complex, Noida Sector 18, Noida - 201301, Near Mcdonalds"
Shree Rathnam Restaurant,"""+(91)-120-2777771""","Kaushambi Metro Station, Ground Floor, Kaushambi, Ghaziabad - 201012"
Hotel Saravana Bhavan,"""+(91)-011-41322929""","Food Court, Select Citywalk Mall, Saket, Delhi - 110017"
Annapurna Restaurant,"""+(91)-11-23857545""","Shop No-1811, Chandrawal Road, Malka Ganj, Delhi - 110007, Opposite Sethi Bakery"
Naivedyam Restaurant,"""+(91)-0124-4333215""","G-11, Vipul Plaza, Golf Course Road, Suncity, Gurgaon - 122011, Sector 54"
Udupi Krishna Restaurant,"""+(91)-11-23843264""","F-45, Kohlapur Road, Kamla Nagar, Delhi - 110007, Near Spark Mall"
Apni Rasoi,"""+(91)-11-47083842""","E -20/226, 2/3 Dividing Road, Rohini Sector 3, Delhi - 110085, Near Dawar Shoes & Travels"
Bangla Sweets,"""+(91)-11-25106533""","Shop Number A-2, Najafghar Road, Kirti Nagar, Delhi - 110015, Opposite Metro Pillar No-329"
Apni Rasoi,"""+(91)-9711746204""","Shop No- A2., Main Road., Ganesh Nagar, Delhi - 110092, Near D Park."
Karnataka Restaurant,"""+(91)-124-4045451""","Sco-82-83, Palam Vihar Road, Service Road, Gurgaon Sector 22, Gurgaon - 122015, Upper Dominoz"
Sagar Ratna,"""+(91)-011-26899700""","5/5 A, Basement, Vasant Kunj, Delhi - 110070, Central Market, Masoodpur, Opposite Basant Squre Mall"
Swastik Restaurant,"""+(91)-11-65807019""","Shop Number GS 70, Sewak Park, Dwarka More, Delhi - 110059, Near Dwarka More Metro Station"
Sagar Ratna,"""+(91)-11-22751576""","A-1, First Floor, Mayur Vihar Phase 1, Delhi - 110091, Near Sheetla Mata Mandir, Acharya Niketan, Pandav Nagar"
Anupam Sweet House31,"""+(91)-9810796081""","Ch. Hetram Complex , Pills Kothi, Sector 30-31 Dividing Road, Sector 31, Faridabad - 121003"
Pakwan,"""+(91)-0124-4051351""","Plot Number 164/11, Old Railway Road, Shivpuri, Gurgaon - 122006, Near Raj Bakery"
Kadimi Foods Pvt Ltd,"""+(91)-011-42770202""","Pocket-4, Second Floor, Plot Number-7, Above HDFC Bank, Dwarka Sector 11, Delhi - 110075, Near Kargil Chowk"
Grover Sweets,"""+(91)-11-25358272""","Plot Number-1, Dwarka More, Delhi - 110059, Near Metro Pillar No - 781,  Diwan Estate, Bhagwati Garden"
Ramesh Vaishno Dhaba,"""+(91)-9873778861""","House Number 11, Shivpuri-chandar Nagar, Delhi - 110051, Near Dominos Pizza"
Veg Gulati,"""+(91)-11-23388830""","Shop Number 8, Near By India Gate, Pandara Road, Delhi - 110003, Opposite Bikaner House, Near India Gate"
Sattvik Restaurant,"""+(91)-11-40599913""","S- 05, Second Floor, Select City Walk Mall, Saket, Delhi - 110017, A3 District Centre"
Sagar Ratna,"""+(91)-11-47070215""","Fd-02, Upper Ground Floor, Pitampura, Delhi - 110034, Near Metro Station Gate Number-3, Madhuban Chowk"
Kake Di Hatti,"""+(91)-011-47321080""","Shop Number-G 20, Vijay Nagar, Delhi - 110009, Near NDPL Office"
The Karnataka,"""+(91)-11-29531641""","A- 89 & 90, Ignou Road, Neb Sarai, Delhi - 110068, Near Freedom Fighter Colony, Near Sainik Farm"
Dilli Darbar Food Pvt Ltd,"""+(91)-9210161500""","No C 448, Main 100 Feet Road, Shahdara, Delhi - 110032, Opposite Rajiv Raj Bajaj Showroom"
Govindas Restaurant,"""+(91)-11-41094042""","Iskcon Temple Complex, Sant Nagar Main Road, East Of Kailash, Delhi - 110065, Near"
Wah Ji Wah Restaurant,"""+(91)-9205200205""","Shop No 142, Rohini Sector 24, Delhi - 110085, Near Canara Bank Pocket 26"
